"pants_num","pants_name","pants_brand","pants_hashtag","pants_starrating","pants_imgUrl","pants_rank","pants_hearts_count"
"750908","유니섹스 세미 와이드 밴딩 슬랙스","WHOLOVESART","#밴딩#세미와이드#슬랙스#와이드#와이드팬츠","4.8","https://image.msscdn.net/images/goods_img/20180406/750908/750908_6_500.jpg","11590","164536"
"1149328","테이퍼드 히든 밴딩 크롭 슬랙스 [블랙]","MUSINSA STANDARD","#정장바지#퍼펙트슬랙스#정장팬츠#기본슬랙스#트라우저#허리밴딩#셋업#유아인착장상품#무탠픽업","4.8","https://image.msscdn.net/images/goods_img/20190910/1149328/1149328_10_500.jpg","11590","87115"
"1551840","Deep One Tuck Sweat Pants [Grey]","XERO","#스웻#와이드#트레이닝#팬츠#원턱#스웻팬츠","4.9","https://image.msscdn.net/images/goods_img/20200818/1551840/1551840_1_500.jpg","11590","122801"
"1149329","세미 와이드 히든 밴딩 슬랙스 [블랙]","MUSINSA STANDARD","#루즈핏#밴딩슬랙스#셋업팬츠#와이드핏#정장바지#퍼펙트슬랙스#밴딩#와이드#유아인착장상품#무탠픽업","4.8","https://image.msscdn.net/images/goods_img/20190910/1149329/1149329_4_500.jpg","11590","66950"
"858911","와이드 데님 팬츠 (LIGHT BLUE)","TOFFEE","#데님팬츠#와이드#와이드데님#와이드청바지#와이드팬츠#청바지","4.8","https://image.msscdn.net/images/goods_img/20180914/858911/858911_6_500.jpg","11590","111423"
"1736085","[패키지] 와이드핏 트레이닝 스웨트 팬츠","BRENSON","#트레이닝세트#바지#팬츠#와이드#트레이닝바지#스웻팬츠#기모","4.8","https://image.msscdn.net/images/goods_img/20210105/1736085/1736085_4_500.jpg","11590","45117"
"890338","와이드 데님 팬츠 (DEEP GREY)","TOFFEE","#데님팬츠#와이드#와이드데님#와이드청바지#와이드팬츠#청바지","4.8","https://image.msscdn.net/images/goods_img/20181025/890338/890338_8_500.jpg","11590","79426"
"2112059","원턱 와이드 스웨트팬츠 그레이","GAKKAI UNIONS","#루즈핏#와이드팬츠#와이드#테이퍼드#이지웨어#트레이닝#일자","4.9","https://image.msscdn.net/images/goods_img/20210906/2112059/2112059_1_500.jpg","11590","38771"
"1931720","테이퍼드 와이드 원턱 린넨 팬츠_Oatmeal","LAFUDGESTORE","#테이퍼드#와이드팬츠#린넨팬츠#린넨#원턱팬츠#와이드#밴딩팬츠","4.8","https://image.msscdn.net/images/goods_img/20210430/1931720/1931720_3_500.jpg","11590","42311"
"1436218","[SET][기본핏+레귤러핏 선택] 크리스피 나일론 쇼츠 -13컬러","CODEGRAPHY","#남자반바지#반바지#밴딩반바지#쇼츠#트레이닝#바지#유튜버픽","4.7","https://image.msscdn.net/images/goods_img/20200508/1436218/1436218_9_500.jpg","11590","22827"
"978464","1931 OBJECT JEANS [CROP STRAIGHT]","BRANDED","#데님#스트레이트#와이드#청바지#크림진#크롭진#크롭데님","4.7","https://image.msscdn.net/images/goods_img/20190309/978464/978464_4_500.jpg","11590","67890"
"999426","[패키지] 루즈핏 트레이닝 스웨트 팬츠","BRENSON","#밴딩팬츠#트레이닝#트레이닝세트#트레이닝팬츠#트레이닝바지#조거팬츠#기모#레귤러","4.7","https://image.msscdn.net/images/goods_img/20190329/999426/999426_4_500.jpg","11590","80364"
"986708","와이드 데님 팬츠 (BLEACH)","TOFFEE","#데님팬츠#루즈핏#와이드#와이드데님#와이드청바지#와이드팬츠","4.8","https://image.msscdn.net/images/goods_img/20190319/986708/986708_1_500.jpg","11590","42726"
